1	race	age	engnat	gender	hand	source	country	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10
2	3	53	1	1	1	1	US	4	2	5	2	5	1	4	3	5	1	1	5	2	5	1	1	1	1	1	1	1	5	1	5	2	3	1	5	4	5	4	1	5	1	5	1	4	1	4	5	4	1	3	1	5	1	4	2	5	5
3	13	46	1	2	1	1	US	2	2	3	3	3	3	1	5	1	5	2	3	4	2	3	4	3	2	2	4	1	3	3	4	4	4	2	3	4	3	4	1	3	2	3	1	5	1	4	4	3	3	3	3	2	3	3	1	3	2
4	1	14	2	2	1	1	PK	5	1	1	4	5	1	1	5	5	1	5	1	5	5	5	5	5	5	5	5	5	1	5	5	1	5	1	5	5	5	4	1	5	1	5	1	5	1	5	5	4	5	5	1	5	1	5	5	5	5
5	3	19	2	2	1	1	RO	2	5	2	4	3	4	3	4	4	5	5	4	4	2	4	5	5	5	4	5	2	5	4	4	3	5	3	4	4	3	3	3	4	5	1	4	5	4	2	3	4	3	5	2	4	2	5	2	5	5
6	11	25	2	2	1	2	US	3	1	3	3	3	1	3	1	3	5	3	3	3	4	3	3	3	3	3	4	5	5	3	5	1	5	1	5	5	5	3	1	5	3	3	1	1	3	3	3	3	1	1	1	3	1	3	1	5	3
7	13	31	1	2	1	2	US	1	5	2	4	1	3	2	4	1	5	1	5	4	5	1	4	4	1	5	2	2	2	3	4	3	4	3	5	5	3	2	5	4	3	3	4	5	3	5	3	4	2	1	3	3	5	5	4	5	3
8	5	20	1	2	1	5	US	5	1	5	1	5	1	5	4	4	1	2	4	2	4	2	2	3	2	2	2	5	5	1	5	1	5	1	5	4	5	2	4	3	3	3	3	3	3	3	3	3	1	5	1	4	1	4	3	3	4
9	4	23	2	1	1	2	IN	4	3	5	3	5	1	4	3	4	3	1	4	4	4	1	1	1	1	1	1	2	5	1	4	3	3	1	3	4	5	4	2	5	1	4	1	4	1	3	5	3	1	5	1	4	1	5	3	2	5
10	5	39	1	2	3	4	US	3	1	5	1	5	1	5	2	5	3	2	4	5	3	3	5	5	4	3	3	1	5	1	5	1	5	1	5	5	4	4	3	5	2	5	2	5	2	4	3	3	3	5	3	5	1	5	3	4	5
11	3	18	1	2	1	5	US	1	4	2	5	2	4	1	4	1	5	5	2	5	2	3	4	3	2	3	4	2	3	1	4	2	4	3	3	3	2	5	2	4	2	3	2	4	2	4	4	4	2	5	2	4	1	4	3	4	4
12	3	17	2	2	1	1	IT	1	5	2	5	1	4	1	4	1	5	5	3	5	3	2	5	3	3	4	3	2	4	2	4	1	5	1	4	3	3	3	4	3	4	1	5	3	3	3	3	5	3	5	3	4	1	3	5	4	5
13	13	15	2	1	1	1	IN	3	3	5	3	3	3	2	4	3	3	1	5	3	3	2	3	2	3	2	4	4	4	2	2	5	5	2	5	4	4	3	3	4	3	3	5	3	3	3	4	3	1	4	1	4	5	4	3	4	5
14	13	22	1	2	1	2	US	3	3	4	2	4	2	2	3	4	3	3	3	3	3	2	2	4	4	2	3	1	4	1	5	1	5	2	4	5	4	4	2	4	2	3	4	4	1	5	4	3	2	4	2	3	2	3	3	5	4
15	3	21	1	2	1	5	US	1	3	2	5	1	1	1	5	1	5	5	3	5	2	5	5	3	2	5	3	1	1	1	4	2	3	5	4	4	2	5	2	5	1	3	2	5	2	4	4	3	1	3	3	4	1	4	3	5	4
16	3	28	2	2	1	2	US	3	3	3	4	3	2	2	4	3	5	2	4	4	4	4	4	2	2	3	2	1	4	2	4	2	4	2	4	3	4	4	2	4	2	4	2	4	2	4	4	3	2	4	3	4	2	4	2	4	4
17	3	21	1	1	1	5	US	2	3	2	3	3	1	1	3	4	4	2	4	2	4	1	2	2	2	2	2	4	2	4	2	5	2	5	2	1	2	4	2	4	1	3	2	4	1	4	5	4	1	5	1	5	1	4	4	5	5
18	13	19	1	2	1	2	FR	1	3	2	4	2	4	1	4	3	4	4	2	3	2	1	3	1	2	2	3	4	2	3	1	4	1	5	3	1	1	4	3	5	2	2	4	3	1	3	5	5	1	4	1	4	1	5	5	5	4
19	3	21	1	2	1	5	US	4	1	5	2	5	1	5	3	5	1	5	2	5	2	3	3	3	3	4	2	1	5	2	5	2	5	1	5	5	3	3	4	3	3	1	1	3	3	4	3	3	1	3	3	3	3	5	4	3	3
20	3	26	1	2	3	5	GB	2	3	4	3	1	4	1	4	1	5	4	2	5	2	1	4	2	2	2	2	2	2	2	2	2	5	2	4	2	3	4	1	5	1	4	2	5	1	5	4	4	1	4	2	4	2	5	3	2	2
21	3	26	1	2	1	1	US	2	2	3	3	3	3	1	3	3	3	4	4	3	1	3	2	2	2	4	4	1	3	2	4	3	2	3	3	4	4	1	2	5	2	2	1	4	2	2	2	4	2	5	2	2	1	5	3	4	4
22	13	19	2	2	1	1	LT	1	4	2	5	3	4	2	4	3	3	4	4	4	4	4	4	5	5	4	2	4	5	1	5	2	4	1	4	5	3	2	3	4	5	3	4	2	1	1	5	5	3	5	2	4	1	4	3	4	4
23	11	29	2	2	1	1	US	2	3	4	2	4	1	3	4	2	3	1	2	2	3	2	1	2	1	2	2	2	4	3	3	1	2	2	4	2	3	4	3	5	1	4	2	4	1	3	4	5	1	4	1	4	1	5	4	4	4
24	3	29	1	2	1	2	US	2	3	1	4	2	4	1	3	3	4	3	3	5	2	3	3	4	3	3	3	1	4	1	4	2	4	3	5	4	3	4	2	4	2	4	1	5	2	4	4	4	2	5	3	4	2	3	4	5	3
25	3	21	1	1	2	2	CA	3	3	4	3	4	3	3	3	4	3	3	4	3	5	3	2	2	2	2	2	1	4	2	4	2	5	2	4	4	3	3	4	5	3	2	4	3	2	4	3	3	2	4	2	4	2	5	2	5	3
26	3	52	1	2	1	1	US	3	4	4	4	2	3	3	3	4	5	4	4	4	3	2	2	3	2	1	3	1	4	1	5	3	3	3	3	4	4	3	5	4	3	1	5	4	4	2	4	4	3	4	4	4	2	4	4	5	4
27	3	19	2	2	1	1	GR	1	3	2	4	2	3	3	2	2	5	5	4	4	3	2	3	1	1	3	3	5	4	1	5	1	3	1	4	5	4	4	1	5	2	1	4	3	1	2	4	3	5	5	1	4	1	5	3	3	5
28	3	48	1	1	1	2	US	5	5	4	1	5	1	5	1	5	2	3	4	4	5	3	3	4	3	3	2	4	5	4	4	4	4	1	2	4	5	2	5	2	5	1	5	3	3	5	5	4	1	5	1	5	1	4	4	2	5
29	3	22	1	1	1	4	US	3	3	4	3	2	2	3	4	2	4	4	3	4	3	2	2	3	3	2	2	1	2	1	3	2	4	2	4	4	3	3	3	3	3	4	3	3	3	3	2	2	3	4	3	3	2	3	2	4	3
30	1	17	1	2	1	1	US	2	4	3	4	2	2	4	5	1	5	5	4	5	1	3	4	5	4	4	4	3	5	5	4	1	5	1	4	2	3	2	5	3	4	1	2	2	5	3	1	4	3	3	1	4	2	3	3	5	5
31	3	37	2	1	1	3	DK	3	3	3	3	2	2	4	2	3	4	1	3	4	5	2	3	1	1	2	1	1	4	3	4	3	3	2	4	4	4	4	1	4	2	4	1	2	3	2	4	3	2	4	3	4	2	4	3	4	3
32	1	19	1	2	1	1	US	4	2	1	5	4	1	3	3	1	5	4	4	5	2	2	4	4	3	4	4	2	5	4	5	2	5	2	4	5	4	1	1	3	5	1	4	3	1	1	3	3	3	5	3	3	1	3	3	3	5
33	3	22	1	2	1	1	US	2	3	3	4	3	2	4	5	2	4	5	3	5	2	2	2	3	2	3	3	2	3	2	4	3	3	3	4	5	5	3	4	5	3	2	2	3	3	3	3	4	1	5	1	4	2	5	3	5	5
34	3	25	1	1	2	4	US	4	2	4	2	4	2	4	2	4	2	2	4	4	4	2	2	2	2	2	2	2	4	3	4	2	3	2	4	4	4	4	3	4	3	4	2	4	2	4	4	3	2	2	2	4	2	4	3	4	4
35	3	20	1	2	1	1	US	5	2	4	1	5	1	5	1	5	3	4	3	4	1	1	4	5	5	4	4	1	5	4	4	1	5	1	5	5	4	2	5	1	4	1	5	1	1	1	1	5	1	4	1	4	1	4	5	5	4
36	3	15	1	2	2	1	GB	1	4	3	4	3	3	1	5	1	5	3	3	4	3	1	3	4	2	4	4	4	3	3	3	3	5	5	3	3	3	2	5	3	5	1	4	3	5	2	3	2	3	4	3	2	3	3	1	3	3
37	3	46	1	2	2	3	US	1	2	3	3	3	1	1	4	2	3	4	2	5	1	4	5	4	4	3	5	1	3	1	5	3	4	4	2	5	3	5	2	5	1	2	1	5	1	4	5	5	1	4	3	3	2	5	5	5	3
38	3	15	1	1	1	1	GB	1	5	2	5	2	2	2	3	4	5	1	4	4	2	2	2	2	2	2	4	1	5	4	5	2	5	2	5	5	1	5	1	5	5	2	2	5	2	2	5	5	4	5	1	5	1	5	5	2	5
39	3	18	1	2	2	2	US	2	3	3	3	4	1	1	3	1	3	2	4	3	2	3	2	4	3	2	4	1	4	1	4	1	4	2	4	4	5	4	1	4	3	2	2	3	2	4	3	5	1	5	1	4	1	4	4	4	5
40	3	42	1	1	1	3	US	2	4	2	4	2	3	3	4	2	5	3	4	3	3	3	2	2	1	3	2	4	3	2	3	2	3	3	2	3	2	3	5	3	4	1	5	2	3	2	4	5	1	3	1	5	2	4	5	5	4
41	3	27	1	2	1	1	US	1	2	2	4	2	2	1	4	2	5	3	4	5	3	4	2	3	2	3	2	1	4	2	4	2	4	1	4	4	3	4	2	5	2	5	2	4	2	4	3	4	2	4	2	3	2	4	4	4	4
42	1	17	1	1	1	1	US	5	1	1	1	5	1	5	1	5	1	1	5	1	5	1	1	1	1	1	1	5	1	5	1	5	5	5	1	1	5	5	1	5	1	5	1	5	1	1	1	5	1	5	1	5	1	5	5	5	5
43	8	17	1	2	1	5	US	4	2	3	3	3	2	5	3	5	5	5	2	5	4	5	5	5	3	5	2	2	5	2	4	2	5	2	5	3	3	4	1	4	5	5	2	5	1	4	3	2	2	1	1	3	1	4	4	5	2
44	6	17	1	2	1	5	US	2	3	2	4	2	2	2	4	3	5	3	3	4	3	4	3	4	2	4	3	3	3	2	4	3	4	3	3	3	3	4	2	5	3	2	3	4	3	2	3	3	3	4	3	4	2	4	2	4	5
45	13	60	1	2	1	5	US	3	1	5	1	5	1	5	1	5	1	2	2	5	1	5	4	5	4	5	5	1	5	5	5	5	4	1	4	5	5	5	1	5	2	5	1	5	1	5	4	4	2	4	2	5	1	5	2	5	5
46	3	27	1	2	1	2	CA	1	3	4	5	3	3	3	5	1	5	4	2	5	3	4	5	4	4	3	4	1	5	1	5	1	5	1	5	5	5	5	4	4	3	2	4	3	2	4	4	4	3	5	4	3	1	5	4	5	2
47	3	19	1	2	1	2	US	4	2	4	3	5	2	5	2	5	3	5	2	4	2	4	3	3	3	3	4	1	4	2	4	2	3	1	3	5	4	5	3	3	3	4	3	5	1	5	5	5	2	4	2	5	1	4	4	4	5
48	3	20	1	1	1	1	US	1	5	2	5	2	3	1	4	2	5	3	4	3	3	2	2	2	2	4	3	4	3	4	2	3	2	4	3	3	3	3	3	4	2	2	3	3	3	2	4	4	3	5	3	3	2	3	3	4	3
49	4	19	1	1	1	1	IN	2	3	5	2	5	2	3	2	5	1	1	2	2	3	1	1	1	1	1	3	5	5	1	4	1	4	2	4	4	5	5	1	5	1	5	1	4	1	5	5	4	2	3	1	4	1	5	1	5	4
50	13	26	2	2	1	1	US	1	5	1	5	1	5	1	5	1	5	5	2	5	1	5	5	5	5	4	5	4	3	1	4	3	5	2	4	4	3	1	4	2	5	1	5	3	5	3	2	5	2	5	1	4	1	2	5	5	4
51	6	24	2	1	1	1	MX	1	2	3	5	4	1	1	3	4	4	4	3	5	3	4	4	4	4	5	3	4	3	5	4	1	5	3	3	3	2	4	5	4	4	1	4	3	4	2	3	4	2	5	2	5	3	5	4	4	5
52	3	19	1	2	2	1	US	1	4	2	4	1	2	1	4	2	5	5	2	5	2	2	4	5	4	3	3	2	4	3	5	2	4	2	3	4	2	4	3	5	4	2	4	5	2	4	4	4	3	4	3	3	2	4	3	4	4
53	3	18	1	2	1	5	GB	2	3	2	5	2	1	1	3	5	5	5	2	5	2	5	5	5	5	5	5	3	2	3	2	3	5	3	3	3	3	1	5	3	5	3	5	3	5	2	4	5	3	5	4	5	1	4	5	5	5
54	3	14	1	2	1	1	US	2	2	2	2	4	1	2	2	2	4	4	3	4	2	3	5	4	4	4	2	4	4	4	2	2	3	1	3	3	2	2	3	5	3	1	5	2	3	2	3	5	2	4	2	4	2	3	4	5	5
55	13	25	2	2	1	1	IN	2	1	4	2	4	1	1	4	2	3	5	3	2	2	2	2	1	1	2	2	1	5	1	5	2	4	1	2	5	5	5	1	4	1	5	1	2	1	4	4	3	2	1	2	2	1	4	1	4	4
56	3	47	1	1	1	1	US	4	1	3	1	2	1	4	4	4	4	4	3	4	3	2	3	4	3	3	3	2	5	2	2	5	4	3	3	1	3	5	4	4	1	3	1	5	1	4	4	5	1	4	1	5	1	4	5	3	5
57	3	18	1	1	1	5	US	2	4	2	4	2	4	2	4	2	4	4	3	4	1	2	4	3	3	4	4	2	2	2	4	3	2	4	2	4	3	3	4	3	3	2	3	3	4	2	4	4	4	4	4	3	3	4	3	4	3
58	3	23	2	1	2	1	SE	2	1	4	2	2	4	5	5	2	5	5	2	5	3	5	5	5	4	4	4	4	4	4	2	3	5	1	4	1	3	4	3	5	3	1	3	4	3	5	3	3	3	5	4	4	1	3	4	4	4
59	3	14	1	3	1	1	GB	2	2	2	2	2	1	1	2	4	4	5	3	4	2	4	3	4	3	4	3	1	4	2	3	1	4	1	2	2	2	2	4	3	4	1	5	3	5	2	3	4	2	3	2	3	2	4	4	2	2
60	3	20	1	2	1	1	US	1	4	2	5	1	2	1	5	1	5	5	2	5	2	4	4	2	2	4	2	1	5	1	5	1	4	1	4	5	3	4	2	2	2	2	1	4	2	4	2	5	1	5	3	4	1	5	4	5	4
61	5	35	1	2	2	1	US	4	1	5	3	5	1	1	1	4	1	5	2	5	4	4	5	2	2	4	2	1	5	1	5	1	5	1	3	5	5	2	1	5	4	1	1	5	2	5	3	5	1	5	4	5	1	5	5	2	5
62	3	34	1	2	1	1	US	4	1	4	2	5	2	5	2	4	2	2	3	4	2	2	3	4	2	2	3	1	5	2	5	1	5	1	5	4	4	4	2	4	1	4	1	5	1	4	4	3	2	4	1	3	2	3	3	5	3
63	13	36	2	2	1	1	JO	5	5	5	5	5	5	5	2	5	1	5	1	5	5	5	5	5	5	5	2	5	5	5	5	1	5	1	5	5	5	4	5	5	1	4	5	5	1	2	5	1	5	5	2	5	1	2	1	5	3
64	3	15	1	1	1	1	US	3	3	3	5	2	3	3	4	4	4	4	4	4	2	3	4	4	4	4	4	3	4	4	4	3	3	3	3	3	2	3	4	4	4	1	5	4	4	2	3	4	5	5	3	3	2	2	4	4	4
65	3	20	1	1	1	1	US	4	3	4	2	4	2	4	2	4	2	1	5	2	3	2	2	2	2	2	2	1	5	1	5	5	5	1	5	5	4	4	5	5	2	1	5	4	3	3	4	5	1	3	1	4	3	4	3	5	4
66	3	54	1	2	1	1	CA	2	3	4	3	2	2	2	4	2	4	3	4	3	5	1	1	1	1	2	1	2	3	1	3	3	4	3	4	3	5	4	2	5	1	5	5	4	1	4	5	3	3	5	2	5	1	4	2	4	5
67	3	47	2	1	1	5	US	2	4	5	2	4	4	4	2	2	3	3	3	4	2	4	2	4	1	2	2	4	4	1	5	1	5	2	5	4	4	2	2	3	4	2	4	3	2	2	3	3	2	4	2	5	2	5	2	5	4
68	4	17	2	1	1	1	IN	3	5	4	4	3	4	2	5	4	5	5	4	5	3	4	5	5	5	4	4	4	5	4	5	2	5	4	5	5	5	3	2	5	5	2	4	3	3	3	4	3	3	5	3	3	4	3	4	5	3
69	11	45	2	1	1	1	US	4	4	4	2	3	2	4	4	5	3	2	4	4	4	1	2	1	1	2	2	1	3	1	5	2	5	2	5	5	5	4	1	5	1	5	1	5	1	5	5	4	1	4	1	5	4	5	1	5	3
70	3	32	1	2	1	2	US	2	2	5	2	4	3	2	5	1	2	5	1	5	2	4	4	5	5	4	4	1	4	3	4	1	4	2	5	4	2	4	1	5	1	4	5	5	3	5	5	4	4	2	2	3	2	4	4	2	2
71	3	23	2	2	1	2	NO	3	1	5	2	5	1	3	3	3	2	3	4	4	3	3	3	4	3	3	3	1	5	2	5	1	2	1	5	5	4	2	4	4	2	3	4	2	3	1	4	3	2	4	1	4	3	4	4	5	3
72	11	23	1	2	1	1	US	4	1	4	2	4	1	2	2	5	4	4	2	5	5	1	2	2	1	1	1	2	5	1	5	2	4	1	3	4	5	3	3	4	2	2	3	3	2	3	4	3	2	4	2	4	1	4	3	2	4
73	3	14	1	2	1	1	US	1	2	2	5	4	1	1	2	2	5	5	1	5	1	5	5	5	3	5	5	1	3	1	5	2	5	2	4	4	3	4	3	3	4	3	4	5	2	5	4	4	2	5	2	2	1	4	5	4	5
74	3	19	1	1	1	1	IE	5	2	2	3	2	2	5	5	3	5	4	5	5	2	4	3	3	2	3	3	3	4	3	5	2	4	1	4	4	3	3	5	3	3	1	5	4	4	2	2	4	1	5	1	4	1	5	4	5	4
75	3	15	1	2	1	1	NZ	1	4	2	4	3	5	3	5	2	5	5	3	5	3	2	5	5	5	4	1	2	5	1	5	1	3	1	4	4	3	3	5	3	5	1	5	3	3	3	4	2	3	4	2	4	3	3	3	5	3
76	3	49	2	2	1	1	FI	3	2	4	4	5	2	4	4	2	2	4	4	4	4	3	2	2	2	4	2	3	4	2	4	4	4	2	3	3	4	2	5	3	4	1	5	3	4	2	2	5	1	4	1	4	2	5	5	5	4
77	5	47	1	2	2	2	US	1	5	2	5	1	5	1	4	2	5	5	2	3	1	2	4	3	3	2	5	2	4	1	4	2	5	1	4	4	5	3	4	5	2	1	4	4	1	3	5	3	3	5	2	5	1	5	3	5	5
78	3	23	2	2	1	2	BE	3	4	4	3	4	1	1	5	1	5	5	4	5	3	4	5	3	1	5	3	1	5	1	5	1	5	1	3	5	5	4	4	5	1	1	2	4	1	3	4	5	4	3	4	2	2	4	4	4	3
79	3	19	2	2	1	1	FI	1	5	2	5	2	2	1	5	1	4	5	1	5	1	5	4	2	2	4	5	3	2	5	2	3	3	4	2	2	2	4	2	5	3	2	2	4	4	4	4	4	3	5	3	4	1	4	4	4	4
80	3	36	1	1	1	1	US	3	2	1	3	5	2	1	5	2	5	4	3	5	3	4	3	3	3	5	3	1	5	4	4	1	4	2	5	4	3	5	2	4	2	4	1	5	1	5	5	5	4	3	2	4	3	4	5	4	4
81	3	21	1	2	1	1	GB	2	3	4	2	4	1	4	4	4	4	5	1	5	1	1	5	5	4	3	5	1	5	2	5	1	4	1	5	5	3	4	5	2	5	2	5	4	3	2	3	4	2	5	2	4	1	5	4	5	4
82	3	21	2	2	1	1	BE	3	1	3	1	5	1	1	2	3	5	5	1	5	2	4	5	4	4	5	5	1	5	5	5	1	3	1	5	5	3	3	5	5	5	1	5	4	1	5	5	5	1	5	1	4	1	5	5	5	5
83	3	13	1	1	1	1	GB	3	4	3	3	3	5	2	5	3	4	5	4	5	1	4	5	5	5	5	5	2	2	4	3	2	3	4	3	3	4	3	3	4	4	3	4	3	3	3	3	4	1	4	1	2	2	4	4	5	3
84	13	21	2	2	1	5	US	3	3	3	1	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	4	2	5	2	4	4	4	3	1	4	1	4	1	5	3	3	3	2	2	4	3	4	3	4	2	3	4
85	3	32	2	1	1	1	HR	4	2	5	3	5	1	4	1	5	1	1	3	3	3	2	1	1	1	1	2	3	4	2	4	1	4	2	4	4	5	5	1	5	2	3	1	2	2	5	3	5	2	3	3	3	1	5	2	3	3
86	3	33	1	2	1	1	US	4	1	5	2	5	1	5	1	5	2	3	4	4	3	2	3	2	3	3	2	1	5	1	5	1	4	1	1	5	5	3	2	4	2	4	1	4	1	4	3	4	2	5	2	5	1	5	4	4	5
87	3	33	1	1	1	1	US	3	2	4	2	4	2	4	2	4	2	2	4	2	4	2	4	2	2	2	2	4	4	2	4	2	4	2	4	2	4	4	3	4	2	4	2	4	2	4	4	4	2	4	3	4	2	4	4	4	4
88	3	16	1	1	1	1	GB	2	2	2	3	2	2	5	3	3	5	3	3	4	1	2	4	3	3	4	5	4	3	4	4	3	4	4	3	3	2	2	2	3	4	3	3	4	4	3	3	5	2	5	2	2	1	4	3	4	3
89	3	21	2	2	1	1	BE	3	2	2	2	4	3	4	4	4	4	4	3	5	2	2	3	4	4	3	4	3	1	1	4	3	3	4	3	4	4	3	3	5	3	2	5	4	3	2	4	4	1	5	1	4	1	5	4	4	4
90	3	31	2	2	1	5	NO	3	3	5	2	5	1	2	3	3	2	1	5	2	1	1	2	1	1	3	3	1	3	1	4	2	3	2	3	3	3	3	1	2	1	5	2	4	3	2	4	3	4	3	3	3	4	5	1	4	5
91	3	17	1	1	1	1	US	1	5	1	5	1	4	1	5	3	5	4	3	5	1	4	3	1	1	1	1	1	5	1	5	1	3	1	5	4	4	1	4	5	1	1	5	1	3	1	3	5	1	5	1	5	1	4	5	5	5
92	3	26	1	2	1	5	GB	2	3	3	3	3	2	2	3	2	5	3	3	3	3	3	3	3	2	3	2	1	4	2	5	1	4	2	3	4	4	3	2	4	3	4	2	5	3	4	4	5	2	2	2	2	4	4	4	4	2
93	3	34	2	1	1	1	BE	4	2	3	2	4	1	2	3	3	3	5	4	5	1	4	4	3	3	3	5	1	5	1	5	1	5	1	5	5	5	4	5	5	3	1	4	2	2	4	5	5	1	5	1	5	1	5	5	5	5
94	1	21	1	2	1	1	ZA	1	1	5	3	5	1	1	5	1	3	1	3	3	1	1	1	1	1	1	1	1	5	1	3	1	3	1	5	3	3	5	1	5	1	5	1	5	1	5	5	3	1	4	1	4	5	5	2	5	4
95	3	26	2	2	1	2	US	5	3	5	2	3	1	5	2	4	4	1	5	1	5	5	1	2	2	5	1	4	5	1	2	4	4	2	5	4	4	4	3	4	3	4	3	3	3	4	4	4	2	4	2	4	1	5	3	4	4
96	3	22	2	2	1	1	NO	2	3	3	4	4	2	3	2	4	4	1	4	2	4	1	1	2	1	1	1	2	3	4	3	3	3	3	4	2	5	5	5	4	3	2	2	3	3	2	3	5	3	4	4	4	2	3	4	4	3
97	3	19	2	2	1	1	NO	1	4	2	2	2	3	1	3	2	5	5	2	5	1	4	4	4	4	3	5	1	4	2	5	2	5	1	3	4	3	2	2	4	3	2	3	4	2	2	2	4	3	4	1	1	2	3	3	4	3
98	3	19	2	1	1	1	FI	4	4	2	4	2	4	2	5	1	4	2	4	2	3	3	3	4	3	4	3	3	4	5	4	3	3	3	4	3	3	3	3	3	5	1	4	1	3	2	2	4	2	4	2	3	2	4	4	4	3
99	1	21	1	2	1	1	US	4	1	5	1	5	1	5	5	3	5	3	4	3	3	2	4	4	2	4	2	2	5	3	5	1	3	1	5	5	4	3	5	4	4	1	4	3	2	3	4	4	1	5	1	5	1	5	4	5	5
100	3	49	2	1	1	1	BE	3	1	5	3	4	1	4	2	4	2	3	5	3	1	2	1	1	1	1	1	1	5	1	4	1	3	1	5	4	5	4	3	5	1	5	1	4	3	5	5	5	1	4	1	4	1	4	2	5	5
101	3	18	1	2	1	1	US	3	3	4	4	5	2	5	4	3	4	4	3	4	2	2	3	3	2	2	3	2	5	2	5	2	5	2	5	5	5	4	2	5	2	4	3	4	2	4	4	3	1	5	1	5	1	5	3	5	5
102	3	32	1	2	1	4	US	1	3	2	4	1	1	1	4	3	4	4	3	4	3	4	4	4	4	4	2	3	3	2	4	1	5	1	4	4	3	4	3	3	4	1	4	1	2	4	2	2	3	3	3	4	4	4	2	3	2
103	3	60	1	2	1	1	US	1	4	5	3	5	3	3	5	1	4	4	3	4	1	5	4	2	2	4	2	1	5	1	5	1	4	1	5	5	5	2	4	5	4	1	1	5	1	5	5	5	1	5	1	5	1	5	5	5	5
104	3	22	1	2	1	1	IE	1	3	2	4	3	2	1	4	2	4	5	2	5	1	4	5	4	4	3	4	1	4	4	4	1	5	2	4	5	5	2	4	4	3	1	5	3	3	2	3	5	3	5	3	3	1	5	5	4	3
105	3	24	1	1	1	1	PL	1	5	1	5	2	5	1	5	1	5	2	5	2	3	2	2	2	3	1	3	1	2	1	1	1	2	5	3	1	3	4	1	4	1	2	2	5	3	4	4	4	1	3	4	3	1	5	4	2	4
106	6	16	2	2	2	1	BR	2	2	3	3	3	1	2	2	2	5	3	4	4	4	1	2	2	2	2	2	1	5	2	5	3	5	1	4	3	3	3	2	3	4	2	4	5	3	4	5	4	1	4	1	4	1	4	2	5	5
107	3	20	2	1	1	1	SK	2	4	2	3	3	2	2	4	4	4	4	3	4	2	3	3	4	4	3	3	3	3	3	2	4	3	3	3	4	3	3	3	3	3	2	4	2	4	2	4	4	1	4	1	4	1	4	3	4	4
108	1	47	1	2	1	2	US	3	2	3	3	3	3	2	2	2	3	2	3	3	3	2	2	2	2	2	2	1	4	1	4	2	4	2	3	4	4	2	2	3	2	3	2	3	2	3	3	3	2	4	2	5	1	4	2	3	4
109	3	15	1	2	1	1	US	2	1	2	2	3	2	2	5	2	4	5	4	4	2	5	2	4	4	5	3	2	3	5	3	2	3	2	3	3	3	4	5	4	4	1	4	2	4	4	3	3	2	3	3	2	3	5	4	4	3
110	13	17	1	2	1	1	US	1	3	3	5	3	5	1	5	1	5	4	5	5	1	2	3	5	4	4	4	4	2	1	2	4	4	3	2	2	3	3	5	4	1	1	1	3	3	1	2	1	1	3	5	1	5	3	1	5	1
111	13	13	1	2	3	1	US	5	1	5	5	5	1	5	1	5	1	1	1	1	1	1	1	1	1	1	1	5	5	1	5	1	5	1	5	5	5	5	5	5	1	5	1	5	1	5	5	5	1	5	1	5	1	5	5	1	5
112	3	16	2	2	1	1	HR	4	4	1	5	2	4	1	5	4	5	5	1	5	4	4	2	4	3	5	4	2	5	2	2	4	5	2	4	2	3	5	4	2	3	1	5	5	3	4	5	4	2	5	3	4	2	5	2	5	3
113	5	23	2	2	1	1	SA	1	4	2	2	4	4	4	5	1	5	3	5	2	3	2	2	5	4	2	3	2	3	1	2	3	3	2	3	2	4	4	1	2	4	3	3	1	3	1	4	2	4	3	3	4	2	3	3	5	3
114	3	30	1	2	1	1	US	5	2	5	1	5	1	5	1	5	2	3	4	3	4	1	1	3	2	2	1	1	5	1	5	1	5	1	5	5	5	4	4	3	4	3	5	2	1	3	2	3	2	4	1	5	1	4	3	4	5
115	3	17	1	2	1	1	US	3	1	4	1	5	1	3	1	5	2	4	2	5	2	2	2	4	2	5	2	2	5	5	4	1	5	2	5	4	4	1	5	4	4	1	5	3	4	4	4	3	2	5	1	5	1	4	2	5	5
116	6	20	1	2	1	2	US	2	3	3	4	3	3	2	4	2	4	4	3	4	3	2	3	3	3	4	3	1	4	2	4	1	4	2	4	5	4	4	2	3	3	3	3	3	2	4	3	3	2	4	2	3	2	3	2	4	3
117	3	25	1	1	1	1	US	2	2	2	4	4	2	1	2	4	5	4	3	5	2	1	4	2	4	4	4	2	4	2	4	2	2	2	2	4	2	4	2	4	4	1	2	4	2	4	3	5	1	5	1	4	1	4	5	5	4
118	3	27	2	1	1	1	BR	4	1	4	1	4	1	4	1	5	1	4	2	3	4	4	3	4	4	4	2	4	3	3	2	4	2	4	1	4	4	4	3	4	3	3	3	3	3	2	4	5	1	5	1	5	1	4	5	4	5
119	3	25	1	2	1	1	US	1	4	2	5	2	4	1	5	2	4	4	3	4	1	3	2	3	2	2	4	2	4	1	4	3	2	2	4	3	3	5	1	5	1	5	1	5	1	5	5	5	2	4	2	4	2	4	4	5	3
