1	race	age	engnat	gender	hand	source	country	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10
13774	13	19	2	2	1	2	BR	1	1	4	3	3	3	1	4	2	3	3	3	5	5	1	1	3	1	1	2	1	2	1	5	2	5	5	2	3	4	5	3	5	4	3	5	3	4	2	4	3	2	5	3	4	3	5	3	4	4
13775	9	20	2	1	1	1	ID	1	3	1	4	2	3	1	2	2	1	5	2	5	1	5	2	5	5	5	5	5	4	1	4	1	5	4	4	5	1	5	4	5	4	2	1	4	2	3	5	4	3	4	4	3	5	3	4	5	4
13776	11	27	2	1	1	1	PH	2	3	4	2	4	3	2	4	4	3	3	3	3	3	2	1	3	3	2	2	2	5	2	5	2	4	3	4	5	3	4	2	4	3	3	4	4	2	3	4	4	2	5	1	4	1	4	4	4	4
13777	11	43	2	2	1	1	PH	3	1	4	2	4	1	5	2	4	3	5	3	5	3	4	5	4	5	5	4	2	4	5	4	2	4	2	4	4	4	4	5	4	4	4	5	4	2	5	4	4	2	4	3	4	1	4	3	4	4
13778	4	25	2	2	1	1	MY	1	5	4	2	1	5	1	4	1	5	5	5	5	4	5	2	5	5	5	1	5	4	2	5	4	5	3	5	3	3	4	5	1	5	1	3	1	5	1	1	1	5	5	2	3	1	3	3	5	3
13779	4	18	1	1	1	1	CN	2	2	3	5	4	4	4	5	3	4	4	4	5	2	4	5	5	4	5	4	1	4	4	5	2	5	2	4	4	4	3	2	5	3	3	2	4	3	4	5	4	2	4	3	5	1	5	4	4	4
13780	5	23	2	1	1	1	EG	1	5	1	3	5	4	2	2	2	4	4	3	4	3	2	4	3	3	2	3	4	5	2	5	3	2	3	2	4	4	3	4	4	4	3	2	5	2	2	2	5	2	5	1	4	2	5	4	3	4
13781	11	27	2	2	1	1	MY	2	1	4	3	4	2	2	2	4	2	2	4	4	4	2	2	4	2	2	2	2	4	1	4	3	4	2	4	4	4	2	4	2	4	2	2	2	4	2	2	4	2	5	2	4	1	4	3	5	4
13782	3	17	2	1	1	1	GR	1	5	2	5	2	5	1	1	2	5	2	3	3	3	5	5	5	5	4	3	5	5	1	5	1	5	1	3	4	2	3	4	2	2	2	4	1	3	3	3	1	3	5	3	3	1	4	1	1	2
13783	11	23	2	2	1	1	ID	3	1	5	2	4	2	4	4	3	2	2	4	3	1	2	2	5	3	3	4	3	4	4	3	3	3	3	4	3	4	3	3	4	3	4	3	3	2	4	4	4	2	4	2	3	1	4	2	4	3
13784	13	15	1	2	1	1	AU	5	1	5	2	5	2	5	2	5	3	3	4	3	3	1	2	2	1	1	1	1	5	3	5	2	5	1	4	5	5	4	4	5	3	2	3	3	3	2	3	5	2	5	4	4	1	5	5	3	5
13785	3	25	1	1	1	1	AU	1	4	4	4	3	3	2	4	2	3	2	4	4	4	2	1	2	1	1	1	1	3	1	4	2	4	2	5	4	3	4	2	5	2	4	2	4	1	4	5	3	2	3	2	4	1	4	1	4	4
13786	3	28	2	2	1	1	DE	1	2	3	4	4	2	1	4	1	5	3	4	4	3	4	4	2	3	3	1	2	5	2	4	2	4	3	4	5	3	5	4	5	4	2	4	3	3	1	4	5	1	5	1	4	1	2	5	4	5
13787	3	47	1	2	1	2	US	3	1	4	2	5	1	5	1	5	3	3	4	4	4	3	3	4	4	3	3	1	4	3	5	1	5	1	4	5	5	4	4	5	3	4	1	4	2	2	5	5	2	5	5	5	1	5	5	5	5
13788	3	20	2	2	2	1	IT	4	1	4	3	5	1	5	2	2	1	3	2	4	1	1	2	3	3	1	5	2	4	1	4	2	5	2	3	5	5	3	2	3	1	1	4	1	3	1	2	5	1	5	1	5	1	5	5	5	5
13789	4	67	2	2	1	1	AU	1	1	4	1	5	1	3	5	4	2	5	3	5	5	5	5	4	3	1	5	1	5	1	5	1	5	1	5	5	5	1	1	5	1	5	1	4	1	5	5	3	1	1	1	5	1	5	1	4	5
13790	4	24	2	1	1	1	IN	1	5	2	5	1	4	2	1	5	4	5	3	5	1	5	5	4	5	4	3	3	2	1	4	2	4	3	2	5	3	4	1	4	3	5	4	1	4	3	5	2	1	5	1	4	1	5	3	3	5
13791	6	16	1	2	1	1	US	1	3	2	5	2	2	1	5	4	5	5	2	5	1	5	5	5	5	5	5	2	1	4	5	1	5	3	5	5	2	2	1	5	5	1	2	4	2	4	4	3	3	4	3	2	3	3	3	5	2
13792	3	36	1	2	1	2	AU	3	1	5	2	5	2	5	2	2	2	5	2	5	3	3	3	3	2	3	2	2	5	3	5	1	5	1	5	5	5	4	1	2	2	5	2	3	1	3	2	4	1	4	1	3	2	4	3	5	4
13793	3	21	2	1	1	1	GR	2	2	3	4	5	2	1	4	2	5	3	4	4	2	2	4	1	3	4	2	1	4	1	4	2	3	2	4	4	4	4	3	4	2	1	4	4	5	1	2	4	2	5	2	4	1	4	2	5	3
13794	11	16	1	1	1	1	SG	2	2	3	3	3	2	3	4	4	4	3	4	4	3	4	2	3	3	4	3	1	4	4	4	2	4	2	4	4	3	4	1	4	2	3	4	4	3	3	4	3	2	4	2	4	2	4	3	5	4
13795	13	25	1	2	1	1	IN	3	2	4	2	4	1	4	2	5	2	4	4	4	3	3	4	4	3	4	3	3	4	4	3	2	3	2	2	4	4	2	5	2	4	2	5	1	4	1	1	4	2	4	2	3	3	4	5	5	3
13796	11	40	2	2	1	1	PH	2	4	4	4	4	4	2	5	1	5	2	4	4	2	4	4	2	1	4	2	4	4	1	4	2	2	2	5	4	5	4	2	4	2	2	1	4	1	1	4	2	5	2	1	2	4	2	4	4	4
13797	4	35	2	1	1	1	AE	2	2	5	1	5	2	2	1	5	5	5	1	5	1	5	5	5	5	5	5	1	5	4	5	1	3	2	3	5	5	4	3	5	3	1	5	4	1	4	5	5	2	5	1	4	1	5	5	5	5
13798	4	25	2	1	1	1	IN	2	2	4	5	5	2	4	1	5	2	3	2	5	5	4	5	5	4	4	3	1	4	1	5	1	5	2	5	5	4	3	5	5	5	5	2	4	1	3	3	4	5	5	1	4	4	5	4	5	3
13799	4	16	1	2	1	1	IN	1	5	1	5	1	1	1	5	1	5	5	1	5	1	5	5	5	5	5	5	1	5	5	5	1	5	2	5	5	3	1	5	5	5	1	5	5	5	1	2	2	1	5	1	4	1	5	1	5	5
13800	3	16	1	2	2	1	AU	3	2	4	3	4	3	2	2	4	4	1	4	3	4	4	2	2	1	2	1	4	4	2	4	2	4	2	4	4	4	2	4	4	2	1	5	2	3	1	3	4	1	5	1	4	1	4	3	3	4
13801	4	18	2	1	1	5	IN	3	5	3	5	5	5	1	3	5	3	1	5	5	5	1	1	5	5	3	5	5	4	5	5	1	1	3	5	5	5	5	5	5	3	3	5	5	1	1	5	5	1	5	1	5	1	5	5	5	5
13802	3	19	1	1	1	1	US	3	3	4	4	3	2	4	5	3	2	1	5	2	3	2	1	1	1	2	1	1	4	2	5	2	5	2	5	5	4	4	4	4	5	1	4	4	2	1	3	5	1	5	2	5	1	4	4	5	5
13803	3	19	2	1	2	1	CZ	1	5	1	4	1	5	1	3	2	5	1	3	5	3	4	1	3	2	3	3	5	5	1	1	5	1	5	2	2	4	4	4	5	5	1	4	5	4	3	2	3	4	4	5	4	3	4	3	5	3
13804	3	21	2	1	1	1	BR	3	5	2	5	5	1	5	3	3	3	5	1	3	1	5	5	5	5	5	3	2	4	3	3	5	5	3	3	1	5	2	3	3	3	1	5	1	5	1	1	3	4	5	3	5	1	3	3	5	5
13805	3	36	1	1	1	1	US	1	5	1	5	2	4	1	4	1	5	3	3	4	2	2	3	4	4	4	4	4	3	4	4	4	3	4	4	4	4	5	1	5	1	3	1	5	2	5	5	5	3	4	3	4	2	5	5	4	3
13806	6	31	1	1	1	1	US	1	5	2	4	2	5	1	5	1	5	4	4	5	2	2	4	2	3	4	4	2	4	2	4	3	4	4	4	4	3	3	4	5	3	2	2	4	3	4	5	2	2	4	1	4	1	5	2	5	4
13807	13	23	2	2	3	1	TR	5	1	5	2	5	1	5	2	1	1	4	2	4	2	2	2	5	4	2	3	2	5	2	5	1	4	1	5	5	3	4	3	5	4	3	4	2	2	2	2	5	2	5	2	5	1	5	5	3	5
13808	13	29	2	2	1	1	BR	3	3	1	4	4	2	5	5	1	5	4	4	5	4	5	3	4	3	3	2	5	3	4	5	3	5	4	3	4	5	1	4	5	5	1	4	3	5	4	3	2	3	2	3	2	2	2	1	5	5
13809	5	22	2	1	2	1	TR	2	5	2	4	2	5	1	4	2	5	5	1	5	4	4	5	4	4	4	4	5	4	5	2	2	4	1	1	2	3	5	3	5	4	2	1	4	3	5	3	3	1	4	2	5	2	3	3	4	5
